pair_id,visit_id,gt_instance_id,change_type,full_gt_voxels,sensor_visible_gt_voxels,sensor_visibility_status,d_intersection_voxels,best_atomic_id,best_atomic_iou,best_atomic_precision,best_atomic_recall,second_atomic_iou,union_oracle_iou,union_search_exact,union_candidate_count,union_member_ids,split_oracle_iou,best_raw_mask_iou,best_raw_query_id,best_raw_query_score,best_confident_mask_iou,provisional_failure_type,D_coverage,D_owned_coverage,D_supported_coverage,final_P2_iou
scene0109_00-scene0109_01,0,1,unchanged_or_unknown,2285,,NOT_COMPUTED,858,ovimap:5,0.17385257301808066,0.458295142071494,0.2188183807439825,0.07576985413290113,0.24949113114277408,True,4,"[""ovimap:1"",""ovimap:5"",""ovimap:10""]",0.375492341356674,0.0025887573964497044,query_0060,9.402571595273912e-05,0.0,mixed,0.375492341356674,0.375492341356674,0.31422319474835886,0.17385257301808066
scene0109_00-scene0109_01,0,2,rigid,669,,NOT_COMPUTED,187,ovimap:3,0.14890885750962773,0.5132743362831859,0.17339312406576982,0.02877697841726619,0.1806930693069307,True,6,"[""ovimap:3"",""ovimap:8"",""ovimap:9""]",0.2795216741405082,0.15789473684210525,query_0096,0.9820070862770081,0.15789473684210525,mixed,0.2795216741405082,0.2795216741405082,0.25411061285500747,0.15789473684210525
scene0109_00-scene0109_01,0,3,rigid,109,,NOT_COMPUTED,73,ovimap:2,0.39766081871345027,0.5230769230769231,0.6238532110091743,0.021341463414634148,0.39766081871345027,True,2,"[""ovimap:2""]",0.6697247706422018,0.013927576601671309,query_0096,0.9820070862770081,0.013927576601671309,mixed,0.6697247706422018,0.6697247706422018,0.6605504587155964,0.39766081871345027
scene0109_00-scene0109_01,0,4,rigid,162,,NOT_COMPUTED,52,ovimap:11,0.19886363636363635,0.7142857142857143,0.21604938271604937,0.15555555555555556,0.27225130890052357,True,2,"[""ovimap:11"",""ovimap:13""]",0.32098765432098764,0.2677595628415301,query_0084,0.9989465475082397,0.2677595628415301,mixed,0.32098765432098764,0.32098765432098764,0.30246913580246915,0.2677595628415301
scene0109_00-scene0109_01,0,5,unchanged_or_unknown,1209,,NOT_COMPUTED,471,ovimap:25,0.18428750522356874,0.2713846153846154,0.36476426799007444,0.01400329489291598,0.18872651356993736,True,6,"[""ovimap:25"",""ovimap:29"",""ovimap:31""]",0.38957816377171217,0.10326797385620914,query_0089,0.0002723119396250695,0.0,mixed,0.38957816377171217,0.38957816377171217,0.18527708850289495,0.18428750522356874
scene0109_00-scene0109_01,0,6,unchanged_or_unknown,2841,,NOT_COMPUTED,626,ovimap:20,0.04179970972423803,0.1925133689839572,0.050686378035902854,0.040998217468805706,0.12673362027737925,False,13,"[""ovimap:12"",""ovimap:15"",""ovimap:16"",""ovimap:17"",""ovimap:18"",""ovimap:20"",""ovimap:22"",""ovimap:24"",""ovimap:26"",""ovimap:27"",""ovimap:6""]",0.22034494896163323,0.10814814814814815,query_0035,0.00016352219972759485,0.0,mixed,0.22034494896163323,0.1950017599436818,0.18760999648011265,0.04179970972423803
scene0109_00-scene0109_01,0,7,unchanged_or_unknown,1109,,NOT_COMPUTED,466,ovimap:20,0.12887537993920972,0.28342245989304815,0.19116321009918846,0.11657214870825457,0.2096997690531178,True,5,"[""ovimap:4"",""ovimap:15"",""ovimap:20""]",0.42019837691614065,0.0340843443096476,query_0086,0.00012497769785113633,0.0,mixed,0.42019837691614065,0.42019837691614065,0.41118124436429215,0.12887537993920972
scene0109_00-scene0109_01,0,8,unchanged_or_unknown,997,,NOT_COMPUTED,85,ovimap:20,0.05120481927710843,0.11363636363636363,0.08525576730190572,0.0,0.05120481927710843,True,1,"[""ovimap:20""]",0.08525576730190572,0.06386861313868614,query_0031,0.0004177727678325027,0.0,mixed,0.08525576730190572,0.08525576730190572,0.08324974924774323,0.05120481927710843
scene0109_00-scene0109_01,0,9,unchanged_or_unknown,1715,,NOT_COMPUTED,261,ovimap:37,0.08585858585858586,0.6954545454545454,0.0892128279883382,0.020242914979757085,0.10467706013363029,True,4,"[""ovimap:37"",""ovimap:38""]",0.1521865889212828,0.0744208969935929,query_0027,0.00030296575278043747,0.0,mixed,0.1521865889212828,0.1521865889212828,0.14402332361516035,0.08585858585858586
scene0109_00-scene0109_01,0,10,unchanged_or_unknown,155,,NOT_COMPUTED,73,ovimap:25,0.042765084944346804,0.04492307692307692,0.47096774193548385,0.0,0.042765084944346804,True,1,"[""ovimap:25""]",0.47096774193548385,0.02891566265060241,query_0085,0.00039923234726302326,0.0,mixed,0.47096774193548385,0.47096774193548385,0.45806451612903226,0.042765084944346804
scene0109_00-scene0109_01,0,11,unchanged_or_unknown,413,,NOT_COMPUTED,149,ovimap:25,0.07887771307570143,0.0916923076923077,0.36077481840193704,0.0,0.07887771307570143,True,1,"[""ovimap:25""]",0.36077481840193704,0.0,query_0084,0.9989465475082397,0.0,mixed,0.36077481840193704,0.36077481840193704,0.0,0.07887771307570143
scene0109_00-scene0109_01,0,12,unchanged_or_unknown,824,,NOT_COMPUTED,8,ovimap:1,0.005747126436781609,0.013888888888888888,0.009708737864077669,0.0,0.005747126436781609,True,1,"[""ovimap:1""]",0.009708737864077669,0.0,query_0084,0.9989465475082397,0.0,mixed,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.005747126436781609
