schema_version,protocol_id,status,pair,method,support_domain,iou_threshold,method_view_sha256,binding_sha256,paired_prediction_count,ambiguous_identity_count,true_positive_count,false_positive_count,endpoint_failure_count,false_reid_count,same_class_mismatch_count,duplicate_count,precision,persistent_gt_count,end_to_end_recall,conditional_gt_count,conditional_recall,conditional_status,rigid_gt_count,rigid_recall
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P0,full,0.5,223525647c308cb3412a4eed7b83b116137468c0b7ba56691a5d13e55b0f2d0d,ebc047aa95c2d53bb8d744c42933a0334e84772b42a9c00f1784df74b6c151ae,0,0,0,0,0,0,0,0,,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P0,full,0.25,223525647c308cb3412a4eed7b83b116137468c0b7ba56691a5d13e55b0f2d0d,ebc047aa95c2d53bb8d744c42933a0334e84772b42a9c00f1784df74b6c151ae,0,0,0,0,0,0,0,0,,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P0,supported,0.5,223525647c308cb3412a4eed7b83b116137468c0b7ba56691a5d13e55b0f2d0d,aedf22524231f82efce3ec750cc6268f7f69c28ee28dce635119ebf08178428f,0,0,0,0,0,0,0,0,,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P0,supported,0.25,223525647c308cb3412a4eed7b83b116137468c0b7ba56691a5d13e55b0f2d0d,aedf22524231f82efce3ec750cc6268f7f69c28ee28dce635119ebf08178428f,0,0,0,0,0,0,0,0,,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P1,full,0.5,6e7889932065c40320cdca3cb039f729168854a65b679dfdf2cf1ed960f99c84,1818faa7a294deb8b88206f424eba66ad3bad9196967c86118bbaa67b3439795,1,0,0,1,1,0,0,0,0.0,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P1,full,0.25,6e7889932065c40320cdca3cb039f729168854a65b679dfdf2cf1ed960f99c84,1818faa7a294deb8b88206f424eba66ad3bad9196967c86118bbaa67b3439795,1,0,0,1,1,0,0,0,0.0,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P1,supported,0.5,6e7889932065c40320cdca3cb039f729168854a65b679dfdf2cf1ed960f99c84,a9d52921580813448969317052716e9db3dc94d4316476832995cc9b395bafd1,1,0,0,1,1,0,0,0,0.0,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P1,supported,0.25,6e7889932065c40320cdca3cb039f729168854a65b679dfdf2cf1ed960f99c84,a9d52921580813448969317052716e9db3dc94d4316476832995cc9b395bafd1,1,0,0,1,1,0,0,0,0.0,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P2,full,0.5,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,d8ea625b2371365633e3e2624a0e2275e410b0cc6aa9df9bf88d703384abdc4e,0,0,0,0,0,0,0,0,,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P2,full,0.25,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,d8ea625b2371365633e3e2624a0e2275e410b0cc6aa9df9bf88d703384abdc4e,0,0,0,0,0,0,0,0,,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P2,supported,0.5,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,0,0,0,0,0,0,0,0,,13,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0109_00-scene0109_01,P2,supported,0.25,8e6491fc8dbdf9b6ac446cec71eda77edb78b06f7d3353db6c402fa37e06709e,fdb862a81cace81c405e39d85e4c563faf443bf3c936a9071bf43a65c03f00d2,0,0,0,0,0,0,0,0,,13,0.0,1,0.0,PASS,3,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0359_00-scene0359_01,P0,full,0.5,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57,a0aa64dcb173a51ff5d086d853a61b102779c93c0dac60f75c5c432996e3e532,0,0,0,0,0,0,0,0,,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0359_00-scene0359_01,P0,full,0.25,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57,a0aa64dcb173a51ff5d086d853a61b102779c93c0dac60f75c5c432996e3e532,0,0,0,0,0,0,0,0,,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0359_00-scene0359_01,P0,supported,0.5,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57,de217e0bc5cb6207ea61371d2b9775395823861887f08414c55e9d92356915ff,0,0,0,0,0,0,0,0,,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0359_00-scene0359_01,P0,supported,0.25,9bf3596a99f3b47769d5caf135c8e068ca0316189410649ba6ad3468fe348f57,de217e0bc5cb6207ea61371d2b9775395823861887f08414c55e9d92356915ff,0,0,0,0,0,0,0,0,,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
1,RSCAN_DENSE_FIXED_ENDPOINT_IDENTITY_V1,PASS,scene0359_00-scene0359_01,P1,full,0.5,3e29109083c4b88f6846e23244623e8c1eb72c340f75149e3b66575b66b36c1f,2bbb72aaca1c8f6132ad24437979e5e4470bec6e932458903d3129275048bedd,2,0,0,2,2,0,0,0,0.0,9,0.0,0,,NOT_COMPUTED_NO_FIXED_ENDPOINT_SUPPORT,6,0.0
